index,phase,experiment_name,run_id,dataset_name,model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
15,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the total sum of peak points of green and red lines?,87,120,87,120,0,0,0,
16,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the lowest value of yellow line?,19,19,19,19,1,1,0,
17,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the difference of value of highiest value of red and lowest value of green line?,79,79,79,79,1,1,0,
18,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the colour of oppose in the graph?,Light blue,gray,light blue,gray,0,0,0,
19,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many times there is 44 value in the Favor?,3,3,3,3,1,1,0,
20,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage of people who are dissatisfied with Spain's democracy?,68,0.68,68,068,0,0,0,
21,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the ratio of people who are dissatisfied and satisfied with Spain's democracy?,2.125,0.436111111,2125,0436111111,0,0,0,
22,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is the Pie chart divided into 3 segment?,Yes,Yes,yes,yes,1,0,0,
23,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,IS the value of No more then sum of Yes and Dk?,Yes,Yes,yes,yes,1,0,0,
24,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage of Iraqi dependents citizen?,0.12,0.19,012,019,0,0,0,
25,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the total percentage of Afghan applicants and Iraqi applicants?,0.34,93,034,93,0,0,0,
26,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is the color of 53% segment light green?,No,Yes,no,yes,0,0,0,
27,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the ratio of Lean Republican segment and Republican segment?,0.7358,0.434343434,07358,0434343434,0,0,0,
28,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What segment represent by dark grey color?,Both,Don't know,both,don't know,0,0,0,
29,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage of both and don't know?,"[4, 9]",4,[4 9],4,0,1,0,
30,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the value of leftmost bar in the bottom?,12,92,12,92,0,0,0,
31,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the largest value of dark green bar?,0.92,0.84,092,084,0,0,0,
32,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which country data analysed here?,cuba,More democratic,cuba,more democratic,0,0,0,
33,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the maximum value of dark brown bar?,7,42,7,42,0,0,0,
34,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the percentage of very important bar for healthy eating habits?,0.72,72,072,72,0,0,0,
35,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the average of green bar median and light blue bar median?,17,0.495,17,0495,0,0,0,
36,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What does dark blue bar represents?,Very Important,Very important,very important,very important,1,0,0,
37,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the average value of all dark blue bars?,62.75,46.33,6275,4633,0,0,0,
38,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What does the color green indicate?,Support,Oppose : 51,support,oppose 51,0,0,0,
39,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the difference between the longest and the shortest green bar?,7,25,7,25,0,0,0,
40,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"Which country has the highest percentage value of ""a lot""?",Kenya,No,kenya,no,0,0,0,
41,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"What is the maximum value of ""a lot"" among countries?",0.69,50,069,50,0,0,0,
42,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many bars are there in the graph?,2,4,2,4,0,0,0,
43,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the total sum of both the bars?,7.81,1.76,781,176,0,0,0,
44,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the value of United States?,0.124,12.4,0124,124,0,0,0,
45,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"What's the average value of Canada, Belgium and France?",0.0277,2.715,00277,2715,0,0,0,
46,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the death rate in the age group 5-14 years old?,0.0034,0.34,00034,034,0,0,0,
47,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Find the median value of all the bars?,0.68,0.86,068,086,0,0,0,
48,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which place shows the highest death rate?,Grenada,Denmark,grenada,denmark,0,0,0,
49,phase1,pix2struct_chartqa_finetuned_baseline,20260622_160530,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is the value of death rate in Denmark more then Croatia?,No,Yes,no,yes,0,0,0,
